,content
288,"어니 근데 오류가 좀 있네요 국내선은 저가항공이나 대형항공사나 다 영수증같이 생겼고,심지어 프레스티지석(대한항공 비즈니스)도 영수증처럼 나오지만,국제선은 모든항공사들이 다 티켓으로 나옵니다."
289,제주도 수학여행갈때 대한항공인가 아시아나던가 탄거같던대 영수증으로 주던댐
290,"저런이유들은 약간 방송용(?)아닌가...확실히 내가탔던 저가항공은 연착 전부됐음. 5분정도도 항상됌. 그리고 탑승게이트가 구석진곳에 있어서 한참을 가야지 나오고, 좌석도 확실히 좁고, 기내서비스음식이 생수밖에 없음. 그리고 공항들어가면 항공사별로 비행기표 발권하는 데스크?도 저가항공사들이 대한항공이나 아시아나보다 작음. 지금은 거의 대부분 국내항공사들은 자동발권기가 있지만 불과 3년전?까지만해도 자동발권은 아시아나나 대한항공밖에 안됬었고 최근에서야 저가항공도 자동발권이 가능해짐.. 3달전에 저가항공으로 제주도에서 김포공항오는데 연착되지 않고 정상시간에 출발했으면 공항버스막차 탈수있었는데 연착 1시간반되서 전철막차도 그 무거운 캐리어들고 전력질주해서 겨우탐...그 전철도 자동문에 뭐가꼈는지 다시열어줘서탔음    결국 집은 새벽2시반에 도착...연착안됐으면 공항버스내려서 맥주한잔하고 집들어가도 12시도 안됐을꺼임... 일단 저가항공은 무조건 연착임. 비행기 탑승을 정상적으로해도 비행기안에서 대기시간때문에 예상도착보다 늦게도착. 아무튼 그 일로 다시한번 저가항공이 왜 싼지 아주 확실히 체감           "
291,그래도 서비스는 대한항공/아시아나항공이 좋지 않나..
292,"기내 서비스나 그런거 까지는 그렇다 치더라도 대한항공/아시아나
자사 정비소 있어서 정비받을텐데 다른저가 항공사는 어떻게 수리를 받지.??
(에어부산-에어서울-진에어는 사실상 계열사니까 같이 사용하겠지만/티웨이.이스타.제주항공...은??)"
293,대한항공이 쓸대없는 서비스로 존나 비싼거임 그냥
294,갠적으론 대한항공이 이쁜거같음  
295,에어프랑스랑 대한항공 진짜 예뿌당
296,3~4살때 부터 대한항공을 겁나 타서 그런지 대한항공이 제일 익숙한 1인
297,나  썸네일보고 대한항공도 피해야되는 항공사인줄 알았음  
298,저 동방항공 타봤는데 자리는 그럭저럭 대한항공처럼 게임 이런건 없고 음식 중국음식 잘 안맞음
299,"대한항공과 아시아나 = 가격단합, 노후된 기체
조만간 큰 사고가 날듯"
300,저번에 푸둥공항에서 대한항공탈때 바로옆에 고려항공 이였는뎅
301,"대한항공 갑질 장난아닌데 왜 안넣는거지?
바비킴도 그정돈데"
302,항공사 몇군데 이용해 봤지만 대한항공 최고임
303,마친 대한항공인듯 낚네
304,난 지금까지 아시아나 대한항공만.타고있다능
305,"타이항공
안셋항공(망했음)
콴타스
캐세이
대한항공 (제일 좋았음)
아시아나
싱가포르 항공
브뤼셀 항공
KLM
델타항공
케냐항공
말레이지아 항공
동방항공
에어 인디아

에어 유로파 (최악이였음)
아메리칸 항공 (기체가 노후되서 ;;;;;)
스파이스 젯 (설국열차 였음)
티웨이
이스타
제주항공
세부 퍼시픽
스쿠트 항공
에어 아시아
타이거 에어
젯스타

내가 타본 항공임"
306,0위 대한항공
307,"대한항공 2016년최악의 항공사 탑10에 뽑혔는데(지연,취소등)
안전도는 항상 중하위권.."
308,"그래도 3항공사중 제일 현실적으로 접근한건 에어로케이라는 생각이 들네요. 청주공항은 티웨이나 제주항공이 초반에 들어감으로써  수요가 입증되는 시장이라는건 증명을 해줬고, 더군다나 어디서든 취향을 해도 수요가 확보되는 노선들(나리타, 나고야,타이페이) 등을 근 시일내에 취향을 계획중에 있어서 제일 기대가 되는 항공사이기도 합니다. 그러나 플라이강원이나 에어프리미아는 걱정이 많이 됩니다. 항공시장자체가 매몰미용이 큰 업계이기에 답이 초반 몇년간은 적자 운항을 할수밖엔 없는데, 장거리를 많이 돌리는 회사일수록 이러한 적자가 심해지죠. 에어프리미아 자체가 버진아틀란틱과 유사한 모델을 생각하고 있다는 생각이 듭니다만, 결국 버진이 그 빡세다고 유명한 대서양 횡단 노선에서 버틸수 있었던 이유도 JV때문이였는데, 과연 혼자서 에어프리미아가 이걸 버틸수 있을지 의문입니다. 더군다나 캐나다의 준저가항공사인 웨스트젯도 2020년 상반기 목표로 YVR-PEK 취향을 계획중에 있는데, PEK을 시작으로 TYO 그리고 인천까지 취향을 계획함에 있어서 가격적 메리트만 존재할뿐, 그외는 메리트가 전혀 없어보입니다, 최소한 하이티어분들이나 출장객들에겐 말이죠. 이미 태평양 노선 시장은 성숙기에 들어서가고 있는 마당이고,  흔히 말하는 FSC들도 JV를 맺고서 시장점유울을 확보해가고 있는 상황인데( NH-UA 2011, KE-DL 2018) 그 틈을 뚫고 지나갈수 있을지 의문입니다. 인지도가 높은것도 아니고, 본인들만의 아이덴테디가 존재하는것도 아니고, 그리고 가장 큰 문제인 인지도 올리겠다고 마케팅에만 돈을 쓰고 안전에 투자를 줄일수 있다는 점이 가장 걱정이 됩니다. 그리고 플라이강원은 아무리 생각해봐도 강원도에 입김이 많이 작용된듯 보입니다만, 국내선 루트인 광주는 수요가 존재할거라고 봅니. 육상교통도 불편한편임과 동시에 환승이라는 문제가 남아있죠. 문제는  울산과 김포노선입니다. 김포노선은 티웨이가 포켓몬고때 잠깐 취향을 했음에도 불구하고 몇달만에 철수 했다는점, 대한항공 자회사였던 진에어조차 GG치고 나갔다는건 수요가 순익분기점을 넘기지 못할정도로 안좋다는 대변하는 이야기겠죠. 또한 양양공항 가보신분들은 아시겠지만, 양양공항 가기가 드럽게 불편합니다. 기본적인 교통 인프라 조차 만들어 놓지 않고운영하겠다는건 그냥 모든 문제가 발생해도 강원도가 책임지는게 아닌 플라이강원 책임으로 돌리겠다는 이야기 밖엔 안듭니다.  그래서 에어로케이는 기대를 해봐도 되겠지만 에어프리미아 그리고 플라이강원은 기대가 안됩니다. 소비자들은 가격이나 서비스만 부분만 보고, 일부 전문가 코스프레하는 블로거들과 카폐러들 때문에 말이죠.애초부터 한국엔 저처럼 그뒤에있는 전략을 보거나, 항덕이라는건 마이너한 분야에 속하니까요."
309,청주공항 대한항공있는데 무슨 노선이 직행이 아니라 김해 랑 제주찍고 나리타 가는 항로내요 비용도 1.5배 더비싸고요 내년에 짜야겠내요
310,"이렇게 국외로 취향 하는 저가 항공이 늘어난다면 앞으로 대한항공과 아시아나 항공 회사 운영이 어려워져 중국 머니로 운영될 가능성이 높아 보인다. 그런 상황으로 변해갈까?
아니면 나름의 해결 방안을 추진하고 있을까?"
311,"아시아나 대한항공 다른 항공사 대부분 이용해봤지만, 에미레이트가 제일 만족스럽고 제일 좋았네요   "
312,최소한 대한항공 아시아나 모시고 하자 ~
313,요즘 저가항공도 많이생겨서 흔한직업이 됐음... 심지어 대한항공애들은 lcc애들 하고 비교하면 자존심 상해하더라
314,그럼 아시아나 대한항공 타세요 고갱님^^* 왜 여기와서 지랄이세요^^**~~
315,대한항공 최공
316,넌 돈없어서 저가항공탓자나 어서 대한항공어쩌고라고말해
317,내가 만약에 바퀴벌레 소동 선베고 막말 할 수 있었으면 그럼 그쪽도 돈 못버니까 아시아나 대한항공 못 타고 이 비행기 타시는거네요? 라고 얘기하고싶다  
318,   설문조사   대한항공 vs 아시아나항공 어디를 선호하나요?  난 아시아나항공
319,지도 그거밖에 안되니깐 대한항공 아시아나 항공 못 타고 있지   
320,그러니까 니가 그 아시아나 대한항공 말고 이 항공사에 있는거야 대충 이런식으로 말한손님한테 진짜 옆에 있었으면  역 질문으로  어머 그렇게 따지면 아저씨는 왜 이 항공사 타고 계시는거죠?  라고 말해주고싶다 진짜 나이 거꾸로 쳐먹고 뭐하는짓..;
321,"대한항공 , 아시아나 1등석보다 더 넓고 호화스러워 보이네요.왜 한국항공사들은 1등석을 저 수준으로 못 만들었을까?"
322,아 이거 꼭 타보고 싶은데 대한항공 마일리지만 디립따 모아놨네요...   꼭 내년엔 타볼거에요   
323,전 케세이 퍼시픽 일등석 타보고 싶어요.루프트한자 일등석 아시아나항공이나 대한항공 일등석
324,대한항공 퍼스트는 타봤는데..
325,혹시 대한항공 비지니스석을 프레스티지 스위트로 타보셨나요? 아시아나 스마티움은 좌우가 좁아보이네여?
326,"저도 올해 초에 특가로 프랑크푸르트 갔다왔는데 괜찮더라고요 장거리는 아시아나 보단 대한항공 비즈니스 스위트 747, 787기종이 더 좋더라고요"
327,   라니님의 선택은? 대한항공 vs 아시아나항공! 저는 아시아나항공  
328,어메니티는 대한항공 다비보다 조금 나은 거 같네요
329,"이게 600이나 하는군요. 저도 지난 겨울 마일리지 모은 것으로 둘이서 뉴욕 왕복을 다녀왔는데, 자그마치 천2백이나 하는 값이었네요. A380 기종은 2층을 타면 이코노미도 큰 불편은 없을 듯. 대한항공은 2층 전체를 비지니스로 만들어서 안되지만 아시아나는 가능."
330,대한항공 비즈니스 탔었는데 사육당하는거 인정 진짜      
331,대한항공 비지니스는 별로였음...차라리 말레이시아 비지니스가 더편했다...
332,대한항공 B747-400 중 2대는 퇴역한 듯
333,대한항공은 물컵때매 떨어졌나보군
334,대한항공은 없음?
335,참고로 순위안에도 못들어가는 대한항공이 더 비싼건 무슨경우냐     
336,대한항공은....?
337,하 싱가폴갈때 대한항공탓는데 ...
338,대한항공은 어디?
339,대한항공은요?
340,대한항공은 없네
341,대한항공은 없노....
342,"가루다가 10위에 오른건 진짜 서비스 때문이겠죠??? 안전도는 위험합니다.가루다 뿐만 아니라 몇년 전까지만 해도 인도네시아 항공사들 EU-ban 리스트에 올라서 유럽노선 취항을 못했던적 있습니다.스카이 트랙스 딱히 요새 공신력이 떨어져요.. 대한항공이 아직도 4성급인거 보면,,아시아나 서비스 축소때문에 순위가 많이 내려갔어요 2011년만해도 1위 였는데.."
343,근데 여기저기 다니다보면 저가항공타놓고 대한항공급 서비스원하는 아줌마아저씨들 의외로 자주보임;;; 항공사직원들도 극한직업이긴 할듯;;
344,"썸넬에 진에어랑 대한항공 같은회사입니다^^ 대한항공에서 진에어 만든거죵^^
제가2017 12월23일에 진에어 타고 코타키나발루가는데 그날안개가 심해서 5시간 연착됬다죠. 옆에 이스타는 다음날 출발하고 제가탄 진에어는 대응을 빨리해서 5시간밖에 연착 됬었어용"
345,썸내일:진에어도 대한항공소속인디??
346,"저는 거의 대한항공이나 아시아나를 이용하는데, 일본이나 2시간 내외 가까운 거리는 저가항공사를 이용하는 것도 나쁘지 않은 것 같아요. 3시간 이상은 대형항공사를 이용하는 것을 추천"
347,진에어가 대한항공의 저가 항공 인걸로 알고 있는데
348,진에어도 대한항공 꺼 아니냐
349,호주 여행가면서 처음으로 대한항공 타고 갔는데 비행기에서 밥도 먹어보고 새로운 경험에 재미있었음
350,대한항공만 타본 1인.....
351,"저비용항공사중에서는 진에어가 늘 조금씩 비싼경우가 많습니다. 다만 진에어는 수하물을 기본적으로 제공하고 비상구좌석이나 기타 넓은 좌석을 무료로 제공합니다. 오후5시 20분에 전구간 체크인시작되어 오전출발 비행편은 체크인 전쟁통이지만 오후 비행기는 어느때나 체크인이 가능하다는게 장점이죠.
티웨이. 이스타항공. 감귤항공의 경우에는 수하물값이 포함되지않은 항공권이있을 수있습니다. 또한 좋은 좌석은 추가요금을 내야하며 체크인은 출발3시간전에 오픈하기때문에 대기줄 경쟁이 있습니다.

모든 저가항공의 좌석은 사실상 좁습니다. 다만 대한항공의 경우 보앙737-900은 저가항공 수준으로 자리가 좁지만 나머지 기종의 좌석은 널널합니다.

좌석의 간격도 중요하지만 FSC와 LCC의 비교점은 AVOD서비스 유무에도 있습니다. 대한항공이나 아시아나항공에도 AVOD가없는 기종이있지만 대부분은 존재하고 엔터테인먼트 요소가 존재합니다. 기내식도 별도로 제공되는데 저가항공사는 일부항공사에서는 종이박스 도시락을 제공합니다. 또한 담요나 배게 그리고 승객이 요청하면 귀마개와 안대도 가져다줍니다.

저가항공의 가장 큰문제는 B737과 A320위주로 운영되는게 문제입니다. 진에어는 772가 운영되고 한국취항노선이 저가항공은 에어아시아X가 a330으로 취항하는데 나머지항공사는 모두 협동체입니다. 일명 갖혀가서 감옥기라고 부릅니다. 3시간미만의 노선에는 문제가없지만 협동체로 5시간 30분노선을 커버치는 방콕. 코타키나발루와 같은 노선을 협동체로 운영한다는것자체가 가장 큰 저가항공의 문제라 생각됩니다."
352,"솔직히 진에어는 저가도 아님. 대한항공 홈피에서 항공기 예약했는데 공동운항으로 진에어 나왔는데 가격은 대한항공이랑 똑같음. 그렇다고 진에어에 대한항공과 같은 가격 내고  tv가 있다는것도 아니고, 기내식이 동일한것도 아니고 자석이넓다는것도 아님  
이번에 호주왔는데 대한항공홈피에서예약함
근데 진에어   솔직히 너무함.솔직히어떻게 7시간30분을 태우면서 대한항공과같은 가격으로 자리도 좁고, 기내식도 한번나오면서정말 맛없고, 심지어 담요도 15000원줘야하고,영화보려면 돈내야하고, 거기다가 더 어이없는건 쥬스를 돈주고 사먹으라함. 솔직히 대한항공 마일리지로 적립빼고는 너무함   대한항공과 진에어가 같은회사이긴하지만 공동운항 안하면 좋겠다. "
353,대한민국이니깐대한항공
354,진에어가 대한항공소속인가요?
355,별 비행기 다 타봤는데 진에어가 가장 좋았음 서비스도 대한항공이나 아시아나랑 별 차이도못느낌
356,"저희 가족들도 진에어 탔는데 좁고 불편해서 담부터 대한항공,아시아나항공 타고 갑니다"
357,"그런데 진에어는 대한항공 계열사아닌가요?
아님 말구요"
358,저가항공사가아닌 에어부산 아님 그리고 대형항공사가아니라 대한항공사 임
359,"작년 1월..삿포로 폭설로 치토세공항에서 부산에어 결항.. 결항순간 아예 예약이 자동없어짐..황당..진에어 제주항공 은 그래도 다음 편 알아주는데..부산에어는 아예취소..하루 노숙하고 70 만원에 겨우 대한항공 편도표 구해서 탈출..
저가항공 특히 부산에어 이용할때는 시간 돈 여유있게.."
360,사실 서비스나 이런걸 즐기고 갈라면 대한항공 또는 이시아나 항공이 났고 해외 갈때에는 대한항공의 저가를 타시려면 진에어고 아시아나의저가는 에어 서울 이라서 아마 서비스도 비슷할겁니다
361,대한항공 탔는데 두바이에서 경유하던데?
362,울아빠도 대한항공에서 퇴직할 날이 다되가시네
363,"제 친구 아빠가 대한항공,아시아나 조종사임   "
364,대한항공탈때
365,처음왔어요 대한항공이 최하위라는 말에 저야 말로 충격이네요 삼종 세트 놓고 갑니다 제 채널에도 세트 부탁합니다.
366,대한항공은 진짜 정신차려야됨
367,"대한항공 오너일가도 한몫했지만
불만처리가 저리낮아서야
직원들도 정신 차려라"
368,"대한항공
아시아나항공
티웨이
이스타
에어서울
에어부산
진에어
제주에어
에어인천
에어필립
유령항공사?"
369,나만 대한항공 좋아하나?
370,아시아나가 대한항공 서비스에 비빌려면 10년후에나 가능할듯....
371,응. 대한항공이 최고야
372,항공사는 대한항공 아닌가요?
373,여윽시 대한항공 고려항공 하늘과땅 차이네
374,"베이징공항에가면대한항공이랑고려항공을동시에볼수있어요
고려항공조종사생각:남조선의 대한항공은세계에서유명한항공인데 우리조선의고려항공은왜안보닙까"
375,영어로 하멱 제내도 korean air  아님 우리나라 대한항공도 korean air인데.....
376,"비행기 만든 회사도 같고 메뉴얼도 같고 조종사들도 서로 왔다갔다하면서 완전 뒤죽박죽이여서 다똑같음(저가항공 기장님들중 다수가 대한항공 아시아나 항공에서 오신분들,,,완전 뒤죽박죽). 저가여서 이렇다 저렇다하는건 아무것도 모르는 사람임."
377,혹시 아시아나나 대한항공은 수영을 꼭 할줄 알아야 하나요?
378,"안녕하세요!
1. 졸업예정자와 기졸업자 차이는 있을까요?
2. 아시아나항공이나 대한항공은 부산 베이스가 있나요 ?"
379,우리나라대한항공아시아나힝공이없다는것이이해가안가요
380,에어 싱기포르하고 대한항공이 없네.  엉터리.
381,"타본 국제선 항공사중 아시아나, 대한항공, 일본항공, 에어 카나다, 아메리카 항공, 멕시카나, 에어 멕시코, 땀, 따코,브라질, 란칠레, 에어 아르헨티나, 랍... 중에 개인적으로 친절성을 평가해보면    1위 아시아나, 2위 일본항공, 3위 대한항공   ...........  12위 아메리카 항공, 13위 에어 카나다... 인듯"
382,"난 대한항공 애용자인데, 순위에 대한항공 없어도 '없구나..'정도로만 끝냈는데 여기 댓글들에는 아시아나랑 대한항공 없다고 지랄발광하는 애들은 대체 뭐지? 우리나라건 무조건 있어야 하고 그게 당연하다는듯이 쳐씨부리네. 아니 있으면 좋고 없으면 마는거지 그게 뭐 국가위상에 문제가 되는것도 아니고 그냥 재미로 쳐봐라 생각없는 새끼들아 뭘 그렇게 화 낼 일이라고 열불내고 좆같은 지랄들이야"
383,한번 당해봐서 아는 꿀팁이네요.. 예전에 저도 집으로 배송시켜주더라고요. (모스크바공항에서 안보내줘서 나중에 대한항공에서 보내주더라고요)
384,"저도 대한항공타고 파리갈 때 누락된 짐 DHL통해서 숙소로 보내줬어요. 
당시 불편한 건 없었는데. 영수증 첨부는 몰랐네요!"
385,1월 한국들어올때 대한항공 들고타는가방도 재더라구요
386,항공사마다 다르겠지만 대한항공이었을거에요... 면세점에서 선물용 한국 과자세트 몇박스 샀는데 그걸 모두 가방에 넣으라고 하더군요. 작은 물건이 아니라 과자 박스라 무슨짓을 해도 가방에 들어가질 않았어요. 굉장히 곤란한적이 있었어요. 다행히 어느 외국분이 오셔서 제 면세점 비닐백 들어 줬어요. 자기 가방 없다며... 너무 한거 아니냐며... 제 대신 궁시렁 대 주시더라고요    호의를 베푸셔서 한국 과자 한상자 드렸네요^^  요즘 비행기내로 반입하는 가방도 딱 두개로 제약되는 경우도 있으니 주의하세요.
387,"영국에서 -> 한국 대한항공 이용했을 경우에 경험담입니다.
백팩 하나, 크로스백 아주 작은 것 하나, 손에 종이가방 하나 들었었는데요.
종이가방이 엄청 큰 가방이었어요. 큰 포스터가 들어갈 정도의 크기.
문제 없이 탈 수 있었습니다."
388,미주행 대한항공은 노트북백팩+기내용캐리어에 백팩1개 더가지고 가면 제재당할까요??? 국내항공사는 그냥 봐주지않아요? 특히 유학간다고 몰랐다고 하면   
389,"다른항공사는 모르겠고  대한항공은 
 체크인하러갈때  입구에  저울이 있어서
보기에  과하다싶으면  모두 올려놓으라하고
보딩하기전에도  저울을  또한번 통과해야합니다
운이 좋아서  통과되신분들도  있지만
결론은 ... 그냥  룰대로 하면  모두가  편합니다"
390,대한항공 망해라
391,대한항공최고!
392,"구려항공의 기내식
단거리에 나오는 썩은 햄버거:김정은한테 던지고 싶음
이코노미 기내식:똥맛남
비즈니스 기내식:대한항공 이코노미 기내식보다 맛없음
퍼스트 기내식:이게 대한항공 이코노미에서 먹는 기내식 같음"
393,"고려항공 퍼스트  VS 대한항공 이코노미
자신의 의견은 답글로   "
394,어째서 비즈니스석이 대한항공 이코노미란 비슷하냐     
395,햄버거는 매점빵이 더 나아요.  그리고 비지니스 석이 뭔가... 머리 받치는거 빼고 우리 대한항공 이코노미석과 비슷... 내 착각?
396,"고려항공vs대한항공
 전갠적으로 대한항공 이요.."
397,걍 대한항공이용하셈 대한한공이 개 좋음
398,그럼 아시아나 대한항공 타세요 고갱님^^* 왜 여기와서 지랄이세요^^**~~
399,대한항공 최공
400,넌 돈없어서 저가항공탓자나 어서 대한항공어쩌고라고말해
401,내가 만약에 바퀴벌레 소동 선베고 막말 할 수 있었으면 그럼 그쪽도 돈 못버니까 아시아나 대한항공 못 타고 이 비행기 타시는거네요? 라고 얘기하고싶다  
402,   설문조사   대한항공 vs 아시아나항공 어디를 선호하나요?  난 아시아나항공
403,지도 그거밖에 안되니깐 대한항공 아시아나 항공 못 타고 있지   
404,그러니까 니가 그 아시아나 대한항공 말고 이 항공사에 있는거야 대충 이런식으로 말한손님한테 진짜 옆에 있었으면  역 질문으로  어머 그렇게 따지면 아저씨는 왜 이 항공사 타고 계시는거죠?  라고 말해주고싶다 진짜 나이 거꾸로 쳐먹고 뭐하는짓..;
405,하나더 알려드리자면 진에어 오버부킹돼면 대한항공으로 좌석배치될 가능성이 있다고 합니다.근데 대한항공 오버부킹돼면 진에어로........
406,대한항공도 해당하는지?
407,대한항공 수하물이 도착 다음날 온경우도 있었는데 아무 보상없이 그냥 집으로 배달만 시켜주던데
408,와 나 대한항공에서 3시간 이륙도 안하고 비행기안에서 있었는데 아무것도 챙겨주는것도 없었는데 비행기 안에서 그좁은 이코노미석에서 3시간동안 화장실이외에는 일어나지도 못하게하고 미치는줄 알았음
409,예전에 대한항공이였는지... 아시아나였는지 기억이 잘 안나지만... 싱가폴에서 출발하는 항공편이 저녁 늦게 출발하는것이 있었는데... 그당시 무엇때문이였는지는 잘 모르겠지만... 2시간 이상 이륙이 지연되었었는데... 사람들 몇몇은 왜이렇게 늦냐고 따졌지만... 대부분의 사람들은 다 잘 기다렸는데... 간단한 샌드위치와 음료수는 제공 해주더라구요...
410,"뭔이유에서인지..활주로에서 한시간동안 뱅기가 안뜨더니...결국 도착지에서 예약해놓은 버스표가 날라가버렸는데요. 버스표 탑승 안해서 취소하고 수수료를 몇백원 물어냈지만... 다른버스가 한참뒤에 있어서 시간적으로 무지 손해봤습니다. 이런건 어떻게 항의해야하나요? 제주출발, 청주도착 국내선이었고..대한항공이었어요."
411,대한항공보다 갑질항공이 있다니...
412,대한항공도 맛없던데...?
413,대한항공 추가요 비빔밥  같음
414,아시아나와 대한항공은 참고로 세계 최상위권~상위권 왔다갔다 할 정도로 수준 높읍
415,역시 대한항공이 짱이지!><
416,유나이티드가 우리나라로 따지면 대한항공급임?
417,정작 대한항공은 항공운항과 출신 잘 안뽑는다는점
418,현재 뉴질랜드에서 살고있는데 여긴 한국 직항은 대한항공 독점이라 비행기값도 비싸고 횡포가심해요 ^^; 호주에 살았으면 이거보고 유럽여행한번가는건데 ^^
419,"전...대한항공 파리 직항으로 가는 14시간 비행이 제일 멀었어요! 전, 캐나다 가보고 싶어요!"
420,아시아나에서 대한항공 카피를 들으니 새롭네요   
421,대한항공의 사고가록과 비교되네
422,"요즘 항공사들의 유행
대한항공의 갑질을 시작해서
글로벌 갑질로 발전하는 사회"
423,왜타냐 저걸 아시아나나 대한항공 타라
424,델타 탔었는데 엄청 친절하던데  뭔가 잘못됬슴   대한항공 오너에게 죄뒤집어쒸운 보도땜에 이것도 못믿겠다.  델타를 얼마나많이탔었는대 이런적 한번도없었슴.
425,내가 대한항공 기장이면 중국비행기 안탄다 그냥 국내비행기 타고말지
426,스카이팀 대한항공을 많이 사랑해주시기 바랍니다.
427,대한항공 만세  
428,2대가아니라 대한항공은 몇십데고 아시아나도똑같음
429,대한항공은 2009년에 이미 승객들태우고 비행한 경력이 있습니다. 이벤트성이긴 했지만 그 이후에 얼마 안있다가 실전 투입 되었습니다.
430,대한항공 아시아나항공 짱짱맨~~
431,"대한항공 한진 금고지기 아닐까요
이명희 와 관련 있을 겁니다"
432,"대한항공 하실레요
아시아나  든가요   "
433,저는 대한항공이 좋아요
434,모아둔게 대한항공이라 슬프네
435,저두 노선때문에 어쩔 수없이 대한항공을 모으게 되는데 진짜 대한항공이 아시아나보다 훨씬크기때문에 그런 것도 있는것같아요  
436,저는 대한항공이 좋아요
437,"지난달에 모든카드를 대한항공으로 바꿨는데  
급 슬퍼지는 이유는 뭘까요"
438,"대한항공 마일리지 , 아시아나항공 마일리지 가치가 달라요 ~~   00:38

마일리지 발권으로 미국 꼬~ 1:16

마일리지 발권으로 유럽 꼬 ~  

시나님 어떤 마일리지 모으세요?? "
439,대한항공 - 대한항공 적립 카드로 대한항공탈때만 쌓임
440,20년간 열심히 모아서 아시아나 300만 대한항공 200만 모았는데 쓸 시간이 없다....  
441,저는 대한항공만 모우고 있었는데 요고 보니까 갈아타야하나시푸네융   오늘도 재밌게 봤오용 
442,나도 대한항공만   
443,대한항공이더좋은데난
444,대한항공으로 결정   !
445,이거 보고 대한항공보다 아시아나가 저한테 더 맞는것 같아서 아시아나만 모으려 하는데 혹시 돈으로 마일리지 사는 것 처럼 마일리지를 돈으로 효율적으로 바꿀 수 있나요?
446,"대한항공 퍼스트타려면 몇번이나 모아야.... 미국을 열댓번은 가야하겠내... 
그럼 경유로 미국가려면 댄공 아시아나 어디가 나을까요?"
447,근데 대한항공이 기내식이 더 맛있음    
448,대한항공
449,저는 아무래도 국적기랑 직항 선호해서 대한항공만 모으게 되네요    같은 비즈니스라도 외항사보다는 국적기가 개인적으로는 더 편하더라고요   
450,역시 미주는 대한항공!!  아시아나 마일리지라고 쓰고 스타얼라이언스 마일리지라고 읽습니다... 결론은 둘다 모으는걸로    
451,오!!!전 아시아나항공이 더 좋은거 같아요!   대한항공 취항노선이 많지만요.............
452,근데 대한항공은 편도신공으로 뉴욕까지 3만5천마일리지가 필요한데 아시아나는 3만 7천 5백마일이 드네요. 그러면 마일리지 적립만으로 볼때 가성비는 비슷해지는거 아닌가 싶네요
453,아니 미칭 에티하드 아파트먼트가 8만 마일리지라고요?!?!? 당장 대한항공 다 접어
454,2016년으로 따지면 아시아나는1년단위로 비행사고가7번일어났고 대한항공은1번 일어 났댑니다
455,아시아나가 진리입니다 스카이팀보다 스타얼라이언스 동맹에 속한 항공사 수도 많아서 마일리지 적립이 대한항공보다 쉬워요
456,"저는 싱가폴 에어라인 서비스보다 대한항공서비스가 더 좋았습니다.
이렇게 발전한 대한민국을 
저 쌍것들이 망가트리고 있는것을  어쩌나요?"
457,기네식은 대한항공 아시아나보다 신경써서 주던데   
458,에어 캐나다      그럼 대한항공도 작은 항공사 이겠냌  
459,대한항공은 왜 없나요
460,짐이 없다면 혹은 여러편의조건 사용을 하지 않을 생각이라면  저가항공을 탈만하죠. 대한항공같은경우 짐없이 타도 화물이송료가 자동으로 들어가 있으니까. 비쌀수 밖에...
461,     저두 바로 샵 예약했는데 대한항공이랑 겹치는 날이라 간신히 했어요    현실적인 조언이네용  
462,FYI..대한항공 ICN-ATL 노선에는 A380 대신 B747-8i 기종이 편성되어 운항중입니다.
463,우리 대한항공과 아시아나가 합치면 얼마나 됄까?
464,"대한항공보다 부자인듯?
조양호 의문의 1패"
465,"0:10대한항공
0:40아시아나
1:25 에티오피안
1:50 에어캐나다
 에어서울
 차이나 솔 틴
 베트남 에어라인
 STAR ALLIANCE(아시아나)
 아시아나
 대한항공
 EASTAR
 관제탑
 진에어
 아시아나
 티웨이"
466,"대한항공.아시아나항공.에어서울 세개의 국적기가 가장 soft landing을 하네요 !
한국인 기장들이 경험이 풍부한 공군 파일럿 출신이 많아 그런거 같습니다.!"
467,0:06 대한항공 활주로 날때까지 계속 홀딩하고 있네    
468,대한항공 아시아나 항공은 대형 비행기이기 때문에 후면 착륙 후 10초 이상 지난 후 전면이 착륙하지만 작은 비행기는 곧바로 하니까 승객에겐 '조금' 충격이 있죠.
469,"4:50 와 이스타항공,대한항공 크기차아   "
470,아시아나 항공이 가장 부드럽게 착륙하고 다음이 대한항공이네요. 외국항공사는 뒤뚱거리거나 착지시 랜딩기어 마찰이 심해 보이는군요.
471,인천 공항 제1터미널에서도 대한항공 볼수 있나요??
472,대한항공 고등어처럼 생겼기도 하고 태극 마크 단 우리나라 국적기라서 미워도 제일 친근한 건 어쩔 수 없네.
473,"와우, 아시아나 넘버1, 대한항공 넘버2"
474,대한항공이 더 부드럽게 착륙 한다.
475,아시아나가 가장 부드럽긴 한데 미국 뉴욕에서 인천 돌아올때인가? 언제 인천 돌아올때 아시아나인가 대한항공 타고 돌아왔는데 그때 비행기 착륙할때 엄청 쎄게 쿵- 하면서 착륙했었던 기억이 나네요.. 그때 정말 놀랐는데... 거칠게 착륙한 느낌이 들어서..
476,"아시아나,대한항공이 밖에서 보면 충격이 거의 없을 것같지만 그래도 약간 기체가 충격때문에흔들리는데(약간) 하드랜딩은 충격이 얼마나 심할까...."
477,내가 타본 뱅기중에서는 루프트한자가 젤 부드럽던데 대한항공이 젤 거칠어
